Type,ID,Question,Answers,IDs
Type I (Element verification),I_0,"Does the 'Coffee Shop' area contain the following: 'Seating Area', 'Service Area', 'Customer Waiting Area'? ","#Yes, it does%%Yes#No, it doesn't%%No#It contains more%%Other","'D100', 'D200', 'D300', 'D001'"
Type I (Element verification),I_1,"Does the 'Seating Area' area contain the following: 'Table', 'Chair'? ","#Yes, it does%%Yes#No, it doesn't%%No#It contains more%%Other","'N101', 'N102', 'D100'"
Type I (Element verification),I_2,"Does the 'Service Area' area contain the following: 'Counter', 'Pastry Case'? ","#Yes, it does%%Yes#No, it doesn't%%No#It contains more%%Other","'D210', 'N201', 'D200'"
Type I (Element verification),I_3,"Does the 'Counter' area contain the following: 'Espresso Machine', 'Cash Register'? ","#Yes, it does%%Yes#No, it doesn't%%No#It contains more%%Other","'N211', 'N212', 'D210'"
Type I (Element verification),I_4,"Does the 'Customer Waiting Area' area contain the following: 'Menu Board', 'Pickup Point'? ","#Yes, it does%%Yes#No, it doesn't%%No#It contains more%%Other","'N301', 'N302', 'D300'"
Type II-A (Relation Check),II_0,Is the relationship between 'Table' (subject) and 'Chair' (object): 'near'?,"#Yes, it is%%Yes#No, it isn't%%No#Not only near%%Other","'R01', 'N101', 'N102'"
Type II-A (Relation Check),II_1,Is the relationship between 'Service Area' (subject) and 'Customer Waiting Area' (object): 'near'?,"#Yes, it is%%Yes#No, it isn't%%No#Not only near%%Other","'R02', 'D200', 'D300'"
Type II-A (Relation Check),II_2,Is the relationship between 'Main Entrance Door' (subject) and 'Coffee Shop' (object): 'near'?,"#Yes, it is%%Yes#No, it isn't%%No#Not only near%%Other","'R03', 'N001', 'D001'"
Type II-A (Non-Relation Check),II_3,"At the location 'Coffee Shop', it seems that 'Seating Area' and 'Service Area' don't have a fixed spatial relationship (random and inconsistent). Is that correct?",#Correct%%Yes#Not true%%No#Partially correct%%Other,"'D100', 'D200'"
Type II-A (Non-Relation Check),II_4,"At the location 'Coffee Shop', it seems that 'Seating Area' and 'Customer Waiting Area' don't have a fixed spatial relationship (random and inconsistent). Is that correct?",#Correct%%Yes#Not true%%No#Partially correct%%Other,"'D100', 'D300'"
Type II-A (Non-Relation Check),II_5,"At the location 'Service Area', it seems that 'Counter' and 'Pastry Case' don't have a fixed spatial relationship (random and inconsistent). Is that correct?",#Correct%%Yes#Not true%%No#Partially correct%%Other,"'D210', 'N201'"
Type II-A (Non-Relation Check),II_6,"At the location 'Counter', it seems that 'Espresso Machine' and 'Cash Register' don't have a fixed spatial relationship (random and inconsistent). Is that correct?",#Correct%%Yes#Not true%%No#Partially correct%%Other,"'N211', 'N212'"
Type II-A (Non-Relation Check),II_7,"At the location 'Customer Waiting Area', it seems that 'Menu Board' and 'Pickup Point' don't have a fixed spatial relationship (random and inconsistent). Is that correct?",#Correct%%Yes#Not true%%No#Partially correct%%Other,"'N301', 'N302'"
Type II-B (Edge: Separation),II_8,"Does the 'Counter' separate 'Service Area' from 'Seating Area, Customer Waiting Area'? ","#Yes, it does%%Yes#No, it doesn't%%No#Partially correct%%Other","'D200', 'D100', 'D300', 'E01'"
Type II-B (Edge: Type Check),II_9,"For the 'Counter' (which separates 'Service Area' from 'Seating Area, Customer Waiting Area'), is it 'impassable'?","#Yes, it is%%Yes#No, it isn't%%No#Not only impassable%%Other","'D200', 'D100', 'D300', 'E01'"
Type III (Path),III_0,"When you perform the activity 'Buy Coffee' as the 'Customer', after you 'Enter' at the 'Main Entrance Door', you usually 'Check Menu' at the 'Menu Board'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P01', 'N001', 'N301'"
Type III (Path),III_1,"When you perform the activity 'Buy Coffee' as the 'Customer', after you 'Check Menu' at the 'Menu Board', you usually 'Order' at the 'Cash Register'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P01', 'N301', 'N212'"
Type III (Path),III_2,"When you perform the activity 'Buy Coffee' as the 'Customer', after you 'Order' at the 'Cash Register', you usually 'Wait' at the 'Pickup Point'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P01', 'N212', 'N302'"
Type III (Path),III_3,"When you perform the activity 'Buy Coffee' as the 'Customer', after you 'Wait' at the 'Pickup Point', you usually 'Sit' at the 'Seating Area'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P01', 'N302', 'D100'"
Type III (Path),III_4,"When you perform the activity 'Make Coffee' as the 'Staff', after you 'Make Espresso' at the 'Espresso Machine', you usually 'Combine Ingredients' at the 'Counter'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P02', 'N211', 'D210'"
Type III (Path),III_5,"When you perform the activity 'Make Coffee' as the 'Staff', after you 'Combine Ingredients' at the 'Counter', you usually 'Provide Final Drink' at the 'Pickup Point'. Is that correct? ","#Yes, correct%%Yes#No, not true%%No#Partially correct%%Other","'P02', 'D210', 'N302'"
